words,links,capital_words,spam_word_count,is_spam
174,4,7,2,0
953,8,9,4,1
50,1,1,0,0
243,1,3,2,0
589,10,8,8,1
28,1,2,2,0
53,0,2,4,0
159,2,1,2,0
127,0,3,6,0
808,6,14,3,1
140,1,3,4,0
139,1,0,3,0
957,3,19,8,1
256,2,1,1,0
176,0,3,0,0
736,3,3,9,1
722,10,17,1,1
732,6,27,7,1
97,0,3,0,0
283,2,3,5,0
46,1,5,1,0
835,8,6,8,1
69,0,2,2,0
229,2,3,0,0
251,1,1,0,0
398,1,0,1,0
186,2,1,1,0
871,8,5,4,1
115,4,10,0,0
681,4,18,10,1
679,3,16,5,1
231,4,6,10,1
208,0,3,4,0
400,0,0,1,0
151,1,2,6,0
117,1,3,2,0
206,1,1,2,0
316,2,13,8,1
142,2,10,3,1
569,10,30,8,1
85,0,3,1,0
606,10,17,7,1
642,5,6,6,1
210,0,1,1,0
338,8,7,8,1
797,8,20,6,1
185,3,3,3,0
184,3,2,2,0
226,0,2,2,0
297,1,8,2,0
106,5,3,1,0
208,3,19,8,1
138,2,11,3,1
31,0,8,4,0
610,7,4,5,1
110,5,0,1,0
145,3,26,3,1
212,0,4,0,0
177,10,6,3,1
159,2,2,1,0
293,1,3,0,0
94,3,2,2,0
142,3,26,9,1
91,3,0,5,0
394,1,2,2,0
422,2,1,0,0
133,2,0,0,0
935,9,8,3,1
191,0,3,2,0
135,0,3,0,1
143,9,27,4,1
76,9,14,10,1
710,9,14,0,1
178,2,1,2,0
244,6,6,3,1
782,1,14,5,1
375,3,3,3,1
912,2,3,5,1
260,0,0,0,0
757,8,0,6,1
181,1,4,3,0
120,0,17,6,1
97,1,2,0,0
893,2,12,9,1
385,3,25,8,1
268,0,0,2,0
237,0,6,0,0
281,1,4,2,0
190,9,22,8,1
170,5,1,0,0
272,1,3,0,0
60,0,0,0,0
897,9,23,10,1
59,5,3,1,0
73,3,1,0,0
910,9,9,5,1
195,10,25,3,1
588,7,12,4,1
194,0,3,5,0
156,1,9,1,0
870,7,1,10,1
227,1,0,4,0
812,9,13,7,1
274,2,2,5,1
238,2,2,1,0
441,0,3,2,0
21,0,1,1,0
172,2,1,1,0
74,1,3,0,0
928,6,10,9,1
850,2,7,9,1
646,4,5,7,1
292,1,2,1,0
174,1,0,4,1
106,8,3,6,1
379,0,1,0,0
314,9,7,4,1
908,5,4,8,1
197,0,0,1,0
26,1,2,3,0
196,0,9,6,1
191,1,0,2,0
409,0,3,3,0
286,4,3,2,0
156,2,3,2,0
930,0,8,7,1
91,1,9,5,0
132,5,3,1,0
126,1,2,1,0
160,9,0,3,1
431,1,1,2,0
575,5,27,4,1
293,2,0,1,0
293,2,6,0,0
196,0,1,2,0
68,2,3,2,0
381,4,6,2,0
288,3,1,1,0
778,4,28,6,1
129,1,3,4,0
451,1,29,10,1
127,2,5,2,0
100,1,0,0,0
74,1,0,2,0
935,5,28,6,1
113,2,9,2,0
731,4,12,10,1
143,0,5,8,1
296,3,17,0,1
322,5,2,1,0
324,8,19,10,1
136,1,3,5,0
167,0,8,1,0
428,3,25,0,1
174,1,3,2,0
374,10,30,5,1
172,2,8,4,0
